TimeStamp,Detector,Bit received,Bit index(/1250),Bit index(%ile) (1250),Index of predicted bit,Bit predicted 700 first bit 0 (1250),Bit predicted 700 first bit 1 (1250),Bit index(/2500),Bit index(%ile) (2500),Bit predicted 700 first bit 0 (2500),Bit predicted 700 first bit 1 (2500)
31621,2,1,25,371,26,1,0,12,1621,1,
95144,3,0,76,144,77,0,1,38,144,1,
4195,3,0,3,445,4,1,0,1,1695,1,
81386,3,0,65,136,66,1,0,32,1386,1,
43984,2,1,35,234,36,1,0,17,1484,1,
88642,2,1,70,1142,72,1,0,35,1142,0,
60281,2,1,48,281,49,0,1,24,281,1,
51153,3,0,40,1153,42,1,0,20,1153,0,
18334,2,1,14,834,15,0,1,7,834,1,
65275,3,0,52,275,53,0,1,26,275,1,
43625,3,0,34,1125,36,1,0,17,1125,0,
56062,2,1,44,1062,45,0,1,22,1062,1,
70348,3,0,56,348,57,0,1,28,348,1,
93679,3,0,74,1179,76,1,0,37,1179,0,
69900,2,1,55,1150,57,0,1,27,2400,0,
19395,2,1,15,645,16,1,0,7,1895,1,
55256,2,1,44,256,45,0,1,22,256,1,
57966,2,1,46,466,47,0,1,23,466,1,
34345,2,1,27,595,28,1,0,13,1845,1,
48260,3,0,38,760,39,0,1,19,760,1,
27037,2,1,21,787,22,1,0,10,2037,1,
21699,3,0,17,449,18,1,0,8,1699,1,
17734,2,1,14,234,15,0,1,7,234,1,
18835,3,0,15,85,15,0,1,7,1335,0,
75792,2,1,60,792,61,0,1,30,792,1,
73891,3,0,59,141,60,1,0,29,1391,1,
8845,2,1,7,95,7,0,1,3,1345,0,
18127,3,0,14,627,15,0,1,7,627,1,
57734,2,1,46,234,47,0,1,23,234,1,
60722,3,0,48,722,49,0,1,24,722,1,
9284,3,0,7,534,8,1,0,3,1784,1,
18505,2,1,14,1005,15,0,1,7,1005,1,
49469,3,0,39,719,40,1,0,19,1969,1,
26768,3,0,21,518,22,1,0,10,1768,1,
78046,3,0,62,546,63,0,1,31,546,1,
31019,2,1,24,1019,25,0,1,12,1019,1,
12481,3,0,9,1231,11,0,1,4,2481,0,
9583,2,1,7,833,8,1,0,3,2083,1,
85828,2,1,68,828,69,0,1,34,828,1,
39088,2,1,31,338,32,1,0,15,1588,1,
46916,3,0,37,666,38,1,0,18,1916,1,
83755,3,0,67,5,67,0,1,33,1255,0,
89958,2,1,71,1208,73,0,1,35,2458,0,
72935,3,0,58,435,59,0,1,29,435,1,
33737,3,0,26,1237,28,1,0,13,1237,0,
77147,2,1,61,897,62,1,0,30,2147,1,
93062,2,1,74,562,75,0,1,37,562,1,
77959,3,0,62,459,63,0,1,31,459,1,
43208,2,1,34,708,35,0,1,17,708,1,
44743,2,1,35,993,36,1,0,17,2243,1,
82304,2,1,65,1054,66,1,0,32,2304,1,
94688,2,1,75,938,76,1,0,37,2188,1,
80228,3,0,64,228,65,0,1,32,228,1,
54011,2,1,43,261,44,1,0,21,1511,1,
54444,2,1,43,694,44,1,0,21,1944,1,
6967,3,0,5,717,6,1,0,2,1967,1,
67689,2,1,54,189,55,0,1,27,189,1,
7430,2,1,5,1180,7,0,1,2,2430,0,
38260,2,1,30,760,31,0,1,15,760,1,
88908,3,0,71,158,72,1,0,35,1408,1,
78613,2,1,62,1113,64,1,0,31,1113,0,
19807,2,1,15,1057,16,1,0,7,2307,1,
42797,2,1,34,297,35,0,1,17,297,1,
27388,3,0,21,1138,23,0,1,10,2388,0,
43467,3,0,34,967,35,0,1,17,967,1,
46588,2,1,37,338,38,1,0,18,1588,1,
80283,3,0,64,283,65,0,1,32,283,1,
55257,2,1,44,257,45,0,1,22,257,1,
11317,2,1,9,67,9,0,1,4,1317,0,
76289,3,0,61,39,61,0,1,30,1289,0,
